account_id,customer_id,tenure_months,num_referrals,has_internet_service,internet_type,has_unlimited_data,has_phone_service,has_multiple_lines,has_premium_tech_support,has_online_security,has_online_backup,has_device_protection,contract_type,paperless_billing,payment_method,avg_long_distance_fee_monthly,total_long_distance_fee,avg_gb_download_monthly,stream_tv,stream_movie,stream_music,total_monthly_fee,total_charges_quarter,total_refunds,gender,age,senior_citizen,married,num_dependents,zip_code,city_name,population,customer_status,churn_label,churn_category,churn_reason
GEOJ-MAJGL,2167-FQSTQ,72,8,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,37.45,2696.4,48,Yes,Yes,Yes,92.4,6786.1,0.0,Female,20,No,Yes,0,94541,Hayward,60274,Stayed,No,,
AEUA-TAESQ,2176-LVPNX,71,0,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,37.39,2654.69,22,Yes,Yes,No,89.85,6293.45,0.0,Female,69,Yes,No,0,95113,San Jose,561,Stayed,No,,
IXVL-CPBNQ,2178-PMGCJ,22,0,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,15.77,346.94,42,No,No,No,69.7,1490.4,0.0,Male,22,No,No,0,90802,Long Beach,38427,Stayed,No,,
CIRI-XHPRJ,2180-DXNEG,12,0,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.54,306.48,27,Yes,Yes,Yes,96.0,1062.1,0.0,Female,46,No,No,0,90710,Harbor City,24660,Churned,Yes,Dissatisfaction,Product dissatisfaction
EAUO-ZMPHV,2181-TIDSV,68,4,No,None,No,Yes,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,19.75,1343.0,0,No,No,No,19.95,1303.25,0.0,Male,47,No,Yes,3,95442,Glen Ellen,4101,Stayed,No,,
JWQF-YAXXY,2187-LZGPL,7,0,Yes,DSL,Yes,No,No,No,No,Yes,No,Month-to-Month,Yes,Credit Card,0.0,0.0,19,No,Yes,Yes,40.1,293.3,0.0,Female,36,No,No,0,94596,Walnut Creek,40917,Churned,Yes,Attitude,Attitude of service provider
DEGQ-XVDRC,2189-WWOEW,15,0,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,24.63,369.45,13,No,Yes,Yes,85.9,1269.55,0.0,Female,37,No,No,0,93531,Keene,1436,Churned,Yes,Other,Don't know
FFLK-GGLEG,2195-VVRJF,18,6,Yes,DSL,Yes,Yes,No,No,Yes,No,No,Two Year,Yes,Credit Card,5.73,103.14,13,No,Yes,No,59.1,1011.05,31.05,Male,74,Yes,Yes,0,90018,Los Angeles,47143,Stayed,No,,
JIHF-HSGNL,2207-NHRJK,1,0,Yes,DSL,Yes,Yes,No,No,No,Yes,No,Month-to-Month,No,Bank Withdrawal,1.28,1.28,27,No,No,No,50.8,50.8,0.0,Male,58,No,No,0,93923,Carmel,13121,Churned,Yes,Competitor,Competitor had better devices
DNHC-FNIEW,2207-QPJED,37,8,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,Two Year,No,Bank Withdrawal,15.6,577.2,19,Yes,No,No,90.0,3371.75,0.0,Female,66,Yes,Yes,0,95568,Somes Bar,202,Stayed,No,,
DGPE-GSITC,2208-UGTGR,56,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,No,Month-to-Month,No,Bank Withdrawal,10.99,615.44,28,Yes,Yes,Yes,98.6,5581.05,0.0,Male,62,No,No,0,93666,Sultana,306,Stayed,No,,
HVJD-SIWNO,2223-GDSHL,71,5,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,26.38,1872.98,18,Yes,Yes,Yes,116.05,8297.5,42.57,Male,41,No,Yes,1,92708,Fountain Valley,54548,Stayed,No,,
EDYY-BOJOW,2227-JRSJX,21,0,Yes,Fiber Optic,Yes,Yes,No,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,6.12,128.52,51,Yes,Yes,Yes,99.15,1956.4,0.0,Female,22,No,No,0,91754,Monterey Park,33280,Stayed,No,,
IGCM-IJVZI,2229-VWQJH,24,0,Yes,DSL,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,4.82,115.68,16,No,No,No,49.3,1233.25,0.0,Female,34,No,No,0,96141,Homewood,858,Stayed,No,,
DCRW-MXEKE,2234-XADUH,72,4,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,One Year,Yes,Credit Card,29.66,2135.52,59,Yes,Yes,Yes,103.2,7362.9,45.38,Female,30,No,Yes,2,92304,Amboy,42,Stayed,No,,
JHZC-WKLDX,2235-DWLJU,6,0,Yes,DSL,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,0.0,0.0,24,Yes,Yes,Yes,44.4,263.05,0.0,Female,75,Yes,No,0,92276,Thousand Palms,6242,Stayed,No,,
JYGK-KWXKU,2235-ZGKPT,4,1,Yes,Cable,Yes,Yes,Yes,No,No,No,No,Month-to-Month,No,Credit Card,12.88,51.52,22,No,No,No,50.85,239.55,0.0,Female,36,No,Yes,1,90062,Los Angeles,29299,Churned,Yes,Dissatisfaction,Product dissatisfaction
GYRA-JKVIJ,2237-ZFSMY,39,0,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,4.48,174.72,71,Yes,No,Yes,95.55,3692.85,0.0,Female,29,No,No,0,93656,Riverdale,5729,Churned,Yes,Attitude,Attitude of service provider
ETQW-DQXYU,2239-CGBUZ,51,4,Yes,Cable,Yes,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,47.18,2406.18,12,No,No,No,60.5,3145.15,0.0,Female,56,No,Yes,0,91791,West Covina,30458,Stayed,No,,
GJZM-MVNJO,2242-MFOTG,33,0,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,One Year,No,Bank Withdrawal,25.71,848.43,48,No,No,No,80.1,2603.3,0.0,Male,29,No,No,0,92064,Poway,47969,Stayed,No,,
EEIO-YGADJ,2243-FNMMI,20,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,31.02,620.4,0,No,No,No,19.4,415.4,0.0,Male,20,No,No,0,90501,Torrance,40705,Stayed,No,,
JPPI-DIRXY,2245-ADZFJ,31,9,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,No,Two Year,No,Bank Withdrawal,28.52,884.12,2,Yes,Yes,Yes,80.55,2471.6,0.0,Female,58,No,Yes,0,96017,Castella,228,Stayed,No,,
DHTV-MFRBR,2252-ISRNH,9,9,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,30.46,274.14,82,Yes,No,No,90.35,767.9,0.0,Male,22,No,Yes,3,95428,Covelo,2296,Stayed,No,,
IZKR-COBPE,2253-KPMNB,69,10,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,0.0,0.0,69,No,No,No,46.25,3121.4,0.0,Female,29,No,Yes,2,95953,Live Oak,8695,Stayed,No,,
ENSK-WBGFG,2256-YLYLP,68,4,Yes,DSL,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,34.13,2320.84,25,Yes,Yes,Yes,72.95,4953.25,0.0,Male,45,No,Yes,1,90630,Cypress,47344,Stayed,No,,
HPDU-DKNPR,2262-SLNVK,1,0,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,1.15,1.15,23,No,No,No,70.1,70.1,0.0,Female,53,No,No,0,94512,Birds Landing,138,Joined,No,,
BYBL-RUEFS,2263-SFSQZ,51,7,No,None,No,Yes,Yes,No,No,No,No,Two Year,Yes,Credit Card,16.85,859.35,0,No,No,No,24.95,1222.25,0.0,Male,46,No,Yes,2,95138,San Jose,14792,Stayed,No,,
IQLU-JHXIC,2265-CYWIV,4,1,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,18.91,75.64,20,Yes,Yes,No,99.6,347.65,25.79,Female,68,Yes,Yes,0,95323,Hickman,1055,Churned,Yes,Dissatisfaction,Network reliability
AWCD-JIOTX,2267-WTPYD,57,1,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-Month,No,Credit Card,23.05,1313.85,30,No,Yes,No,94.0,5438.95,0.0,Female,77,Yes,Yes,0,91344,Granada Hills,48867,Stayed,No,,
JSPQ-LYGMO,2272-QAGFO,14,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,35.07,490.98,10,No,No,No,74.3,1096.25,0.0,Female,75,Yes,No,0,90304,Inglewood,28680,Churned,Yes,Dissatisfaction,Service dissatisfaction
HGTF-FWEFY,2272-WUSPA,72,1,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,39.74,2861.28,5,Yes,Yes,Yes,110.75,7751.7,0.0,Female,48,No,Yes,0,96121,Milford,481,Stayed,No,,
EHMY-OWVGZ,2276-YDAVZ,3,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,26.52,79.56,10,No,No,No,75.1,270.7,0.0,Female,63,No,No,0,92129,San Diego,47224,Churned,Yes,Competitor,Competitor made better offer
FZNV-PRTSD,2277-AXSDC,32,0,No,None,No,Yes,No,No,No,No,No,One Year,No,Bank Withdrawal,43.8,1401.6,0,No,No,No,19.75,624.15,0.0,Female,46,No,No,0,92243,El Centro,43712,Stayed,No,,
HZHU-RWEGA,2277-BKJKN,71,6,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,Two Year,Yes,Bank Withdrawal,22.0,1562.0,27,Yes,Yes,Yes,99.2,7213.75,0.0,Female,70,Yes,Yes,0,95922,Camptonville,632,Stayed,No,,
EVIJ-FOJSR,2277-DJJDL,60,5,Yes,Fiber Optic,No,Yes,Yes,Yes,No,No,No,Two Year,Yes,Bank Withdrawal,10.4,624.0,5,Yes,Yes,No,99.0,6017.9,0.0,Male,69,Yes,Yes,0,95329,La Grange,1749,Stayed,No,,
GHSQ-RKLGS,2302-ANTDP,48,9,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,43.04,2065.92,5,Yes,Yes,No,117.45,5438.9,0.0,Female,76,Yes,Yes,0,96040,Hat Creek,397,Churned,Yes,Competitor,Competitor offered more data
CEKG-HYGPT,2302-OUZXB,72,5,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Yes,Two Year,No,Bank Withdrawal,22.01,1584.72,5,Yes,Yes,Yes,82.15,5784.3,0.0,Male,62,No,Yes,0,93001,Ventura,32899,Stayed,No,,
GYFU-OUHHH,2303-PJYHN,2,8,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,36.05,72.1,0,No,No,No,19.85,52.0,0.0,Female,27,No,Yes,0,90015,Los Angeles,15140,Joined,No,,
IOYR-UNWCD,2311-QYMUQ,16,1,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,31.73,507.68,25,Yes,No,No,89.45,1430.25,0.0,Female,41,No,Yes,0,93660,San Joaquin,4318,Churned,Yes,Attitude,Attitude of support person
JJPI-TMBNI,2320-SLKMB,26,0,Yes,Cable,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,0.0,0.0,29,Yes,No,No,44.45,1183.8,0.0,Female,46,No,No,0,92309,Baker,904,Stayed,No,,
DCBB-KDBLB,2320-TZRRH,20,0,No,None,No,Yes,No,No,No,No,No,One Year,No,Credit Card,38.74,774.8,0,No,No,No,19.5,403.15,0.0,Female,38,No,No,0,93271,Three Rivers,2318,Stayed,No,,
HXBW-KNARM,2322-VCZHZ,23,3,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,31.53,725.19,20,No,Yes,No,90.0,2024.1,0.0,Male,70,Yes,Yes,0,95318,El Portal,579,Stayed,No,,
DKSI-GNXFR,2323-ARSVR,67,8,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,46.89,3141.63,29,Yes,Yes,Yes,111.05,7321.05,0.0,Male,51,No,Yes,0,95035,Milpitas,62848,Stayed,No,,
FMRV-LOKMX,2324-AALNO,48,0,No,None,No,Yes,Yes,No,No,No,No,One Year,No,Bank Withdrawal,23.76,1140.48,0,No,No,No,24.55,1203.95,36.04,Female,63,No,No,0,93257,Porterville,65566,Stayed,No,,
AXPE-PUKUR,2325-NBPZG,3,0,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,10.1,30.3,73,No,No,No,74.55,233.65,0.0,Female,20,No,No,0,94949,Novato,13361,Joined,No,,
GMLI-WKZOA,2325-WINES,32,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,One Year,Yes,Credit Card,14.21,454.72,28,Yes,Yes,Yes,104.05,3416.85,0.0,Female,44,No,No,0,93543,Littlerock,11198,Stayed,No,,
EFZY-GDLQA,2330-PQGDQ,51,6,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,No,One Year,No,Bank Withdrawal,9.5,484.5,51,No,No,No,84.2,4299.75,39.68,Male,36,No,Yes,3,95445,Gualala,1916,Stayed,No,,
GNJU-ULCRS,2332-EFBJY,16,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,5.74,91.84,0,No,No,No,19.7,342.4,0.0,Male,35,No,No,0,91403,Sherman Oaks,22085,Churned,Yes,Price,Long distance charges
JKUU-QANHR,2333-KWEWW,18,0,No,None,No,Yes,No,No,No,No,No,Two Year,No,Credit Card,26.26,472.68,0,No,No,No,20.05,388.6,0.0,Male,64,No,No,0,93721,Fresno,6848,Stayed,No,,
IXRG-DNRKK,2335-GSODA,23,0,Yes,DSL,Yes,No,No,Yes,Yes,No,Yes,Two Year,No,Credit Card,0.0,0.0,26,No,No,No,40.1,857.75,0.0,Male,36,No,No,3,95709,Camino,4829,Stayed,No,,
FGLS-SIIVL,2346-DJQTB,35,0,Yes,DSL,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,0.0,0.0,21,No,No,No,24.15,812.5,0.0,Female,54,No,No,0,94930,Fairfax,8486,Stayed,No,,
EJDH-BWVBJ,2346-LOCWC,58,10,No,None,No,Yes,No,No,No,No,No,Two Year,No,Credit Card,25.86,1499.88,0,No,No,No,20.5,1191.4,36.92,Female,52,No,Yes,2,95912,Arbuckle,4796,Stayed,No,,
ENES-HHYFJ,2360-RDGRO,65,4,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.2,2678.0,10,Yes,Yes,Yes,104.25,6812.95,0.0,Male,48,No,Yes,0,95982,Sutter,3193,Stayed,No,,
CUZU-MOQKE,2361-UPSND,46,6,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,No,One Year,No,Credit Card,44.75,2058.5,27,No,Yes,Yes,70.6,3231.05,0.0,Female,45,No,Yes,0,96113,Herlong,946,Stayed,No,,
DIDN-SIMNT,2362-IBOOY,36,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,43.97,1582.92,42,No,Yes,Yes,84.75,3050.15,0.0,Male,22,No,No,0,92126,San Diego,74232,Churned,Yes,Competitor,Competitor made better offer
IJNZ-VKUJF,2364-UFROM,30,0,Yes,Cable,Yes,Yes,No,Yes,Yes,Yes,No,One Year,No,Bank Withdrawal,32.41,972.3,22,Yes,No,No,70.4,2044.75,0.0,Male,47,No,No,0,92123,San Diego,25232,Stayed,No,,
EZJT-QBGJI,2368-GAKKQ,70,0,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,17.32,1212.4,30,Yes,Yes,Yes,113.65,7939.25,0.0,Female,28,No,No,0,91342,Sylmar,81986,Stayed,No,,
KEMS-ZWKYF,2371-JQHZZ,24,7,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,46.91,1125.84,20,Yes,Yes,Yes,93.0,2248.05,0.0,Male,54,No,Yes,0,93307,Bakersfield,59195,Stayed,No,,
ABJG-QLGHV,2371-JUNGC,11,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,28.62,314.82,0,No,No,No,20.25,208.0,0.0,Male,46,No,No,0,95014,Cupertino,54431,Stayed,No,,
EEVE-CAGRB,2371-KFUOG,58,0,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Yes,No,One Year,No,Bank Withdrawal,32.67,1894.86,14,Yes,Yes,Yes,99.15,5720.95,0.0,Male,54,No,No,0,92025,Escondido,49281,Stayed,No,,
HGMS-AZDKE,2391-IPLOP,50,6,Yes,Cable,Yes,Yes,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,14.32,716.0,58,Yes,No,No,69.65,3442.15,0.0,Male,25,No,Yes,0,93212,Corcoran,23506,Stayed,No,,
DIIJ-MZMZO,2397-BRLOM,8,2,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,26.99,215.92,2,Yes,No,No,80.45,583.45,0.0,Male,67,Yes,Yes,0,94901,San Rafael,40239,Churned,Yes,Other,Don't know
HMOJ-MPOKX,2402-TAIRZ,37,0,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,One Year,No,Bank Withdrawal,9.61,355.57,11,No,No,No,80.05,3019.1,0.0,Female,48,No,No,0,90012,Los Angeles,30596,Stayed,No,,
HGDM-MTIRP,2403-BCASL,41,1,Yes,Cable,Yes,Yes,Yes,Yes,No,Yes,Yes,One Year,Yes,Bank Withdrawal,45.04,1846.64,29,Yes,Yes,No,111.95,4534.9,0.0,Male,66,Yes,Yes,0,92705,Santa Ana,44117,Churned,Yes,Other,Don't know
BJQQ-NBEWO,2404-JIBFC,55,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,8.39,461.45,52,Yes,Yes,Yes,85.1,4657.95,0.0,Female,37,No,Yes,3,92804,Anaheim,81333,Stayed,No,,
IVQF-EZWAJ,2408-PSJVE,44,1,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Credit Card,37.68,1657.92,24,No,No,No,61.9,2924.05,0.0,Male,41,No,Yes,3,91709,Chino Hills,66754,Stayed,No,,
CVSE-TOYMY,2410-CIYFZ,2,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,Mailed Check,49.53,99.06,0,No,No,No,20.4,42.9,0.0,Male,42,No,No,2,95776,Woodland,15022,Joined,No,,
CMRA-FINFP,2428-HYUNX,44,4,No,None,No,Yes,No,No,No,No,No,Two Year,Yes,Credit Card,1.89,83.16,0,No,No,No,19.35,847.25,0.0,Male,74,Yes,Yes,0,94109,San Francisco,56330,Stayed,No,,
DUFY-DYKXX,2428-ZMCTB,10,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,20.29,202.9,0,No,No,No,19.75,208.25,0.0,Male,24,No,No,0,94040,Mountain View,32143,Stayed,No,,
ERFW-PHULH,2429-AYKKO,72,0,No,None,No,Yes,No,No,No,No,No,Two Year,No,Bank Withdrawal,3.43,246.96,0,No,No,No,19.85,1434.1,0.0,Male,52,No,No,0,96003,Redding,41476,Stayed,No,,
GWZN-NOGNF,2434-EEVDB,64,7,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,Yes,Two Year,Yes,Credit Card,1.27,81.28,13,Yes,No,No,94.6,5948.7,0.0,Female,45,No,Yes,0,93505,California City,8316,Stayed,No,,
AQNS-LVUPF,2439-LYPMQ,38,7,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Two Year,Yes,Bank Withdrawal,4.75,180.5,24,Yes,Yes,No,102.6,4009.2,45.81,Male,79,Yes,Yes,0,96121,Milford,481,Stayed,No,,
ACSF-MFCZF,2446-BEGGB,6,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,47.35,284.1,29,Yes,Yes,Yes,98.25,560.6,0.0,Female,79,Yes,No,0,90712,Lakewood,30173,Churned,Yes,Attitude,Attitude of support person
EZRO-UPKPA,2446-ZKVAF,18,5,Yes,DSL,Yes,Yes,Yes,No,No,Yes,No,Month-to-Month,No,Credit Card,1.28,23.04,30,No,No,No,56.8,1074.65,0.0,Male,19,No,Yes,0,95207,Stockton,49965,Stayed,No,,
JIKK-QCSSE,2450-ZKEED,11,0,Yes,DSL,Yes,Yes,No,Yes,No,No,Yes,One Year,No,Bank Withdrawal,7.42,81.62,17,No,No,No,53.8,651.55,0.0,Female,33,No,No,0,93546,Mammoth Lakes,8217,Stayed,No,,
BPIF-DTMTQ,2452-MRMZF,72,9,No,None,No,Yes,Yes,No,No,No,No,Two Year,Yes,Credit Card,8.48,610.56,0,No,No,No,25.7,1937.4,0.0,Female,70,Yes,Yes,0,90303,Inglewood,27778,Stayed,No,,
HHIX-UZQXL,2452-SNHFZ,47,0,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Month-to-Month,No,Credit Card,48.03,2257.41,69,No,No,No,75.45,3545.1,0.0,Female,19,No,No,0,95939,Elk Creek,587,Stayed,No,,
IIOD-EIMQA,2454-RPBRZ,12,1,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,30.63,367.56,27,Yes,No,No,98.1,1060.2,49.06,Female,67,Yes,Yes,0,95306,Catheys Valley,986,Churned,Yes,Dissatisfaction,Service dissatisfaction
JYFQ-DBJCI,2460-NGXBJ,11,8,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,One Year,Yes,Credit Card,28.64,315.04,22,No,No,No,75.2,775.3,0.0,Male,65,Yes,Yes,1,95206,Stockton,49657,Stayed,No,,
HFJN-OAVSZ,2466-FCCPT,20,7,No,None,No,Yes,No,No,No,No,No,One Year,No,Bank Withdrawal,7.31,146.2,0,No,No,No,19.7,395.6,0.0,Female,50,No,Yes,3,93643,North Fork,3376,Stayed,No,,
HTDI-KVIMM,2466-NEJOJ,8,6,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,26.17,209.36,0,No,No,No,19.65,169.75,0.0,Male,58,No,Yes,3,94922,Bodega,584,Stayed,No,,
KCIJ-ERIDS,2469-DTSGX,72,0,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Yes,Two Year,No,Bank Withdrawal,44.81,3226.32,14,Yes,Yes,No,111.65,7943.45,0.0,Female,72,Yes,No,0,93066,Somis,2966,Stayed,No,,
IHHE-RZXYN,2472-OVKUP,6,5,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,42.08,252.48,29,No,Yes,Yes,91.0,531.0,0.0,Male,39,No,Yes,2,91304,Canoga Park,49242,Churned,Yes,Dissatisfaction,Service dissatisfaction
HDKG-JNHSM,2474-BRUCM,40,1,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,Month-to-Month,No,Bank Withdrawal,2.85,114.0,3,Yes,Yes,No,101.85,4086.3,0.0,Male,76,Yes,Yes,0,96002,Redding,30338,Churned,Yes,Other,Don't know
BWSM-XRBCI,2475-MROZF,30,0,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,2.87,86.1,29,No,No,No,95.0,2852.4,0.0,Male,36,No,No,0,92562,Murrieta,36149,Stayed,No,,
GFZB-VAWZG,2480-SQIOB,4,1,Yes,DSL,Yes,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,25.9,103.6,19,No,No,No,44.8,169.65,0.0,Male,40,No,Yes,2,91364,Woodland Hills,25988,Stayed,No,,
JTYR-DEIJE,2481-SBOYW,61,0,No,None,No,Yes,Yes,No,No,No,No,Two Year,Yes,Credit Card,32.05,1955.05,0,No,No,No,25.0,1498.35,0.0,Female,62,No,No,1,92405,San Bernardino,24644,Stayed,No,,
GGRT-GWHID,2482-CZGBB,10,0,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,27.28,272.8,27,No,No,No,70.0,740.0,0.0,Male,41,No,No,0,92804,Anaheim,81333,Churned,Yes,Competitor,Competitor had better devices
HGUG-IIPDV,2483-XSSMZ,39,0,Yes,DSL,No,Yes,No,No,Yes,No,No,One Year,Yes,Bank Withdrawal,25.33,987.87,82,No,No,No,47.85,1886.4,0.0,Female,22,No,No,0,94563,Orinda,17964,Stayed,No,,
EFGP-PADIU,2495-INZWQ,4,0,Yes,Cable,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,0.0,0.0,20,Yes,Yes,Yes,44.55,174.3,0.0,Male,44,No,No,0,95045,San Juan Bautista,3402,Churned,Yes,Attitude,Attitude of service provider
BGXD-WASXX,2495-TTHBQ,4,0,No,None,No,Yes,No,No,No,No,No,One Year,Yes,Credit Card,32.15,128.6,0,No,No,No,20.4,84.75,0.0,Female,52,No,No,1,92253,La Quinta,23971,Stayed,No,,
FLYW-BWWKK,2504-DSHIH,23,1,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,One Year,No,Bank Withdrawal,42.59,979.57,2,No,Yes,Yes,86.8,1975.85,0.0,Male,66,Yes,Yes,0,91360,Thousand Oaks,42526,Stayed,No,,
IXCB-UIBXH,2506-CLAKW,6,0,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,20.26,121.56,26,No,Yes,Yes,98.15,567.45,0.0,Female,20,No,No,0,93003,Ventura,46894,Churned,Yes,Attitude,Attitude of support person
FXJH-BHUAK,2511-MORQY,50,4,Yes,DSL,Yes,Yes,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,10.33,516.5,6,No,No,No,54.9,2614.1,0.0,Male,46,No,Yes,0,90502,Torrance,17058,Stayed,No,,
FNPN-EHJRN,2514-GINMM,1,0,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,48.97,48.97,23,Yes,No,No,79.5,79.5,0.0,Male,60,No,No,0,92629,Dana Point,27730,Churned,Yes,Attitude,Attitude of service provider
EDMR-KJECD,2516-VQRRV,2,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,23.46,46.92,25,No,No,No,75.45,158.4,0.0,Female,77,Yes,No,0,90230,Culver City,31963,Churned,Yes,Price,Long distance charges
HOPF-RZHVE,2519-FAKOD,38,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,31.27,1188.26,85,Yes,Yes,Yes,99.25,3777.15,0.0,Male,30,No,No,0,93561,Tehachapi,25805,Churned,Yes,Competitor,Competitor had better devices
DTDD-UVDIK,2520-SGTTA,10,4,No,None,No,Yes,No,No,No,No,No,Two Year,No,Credit Card,20.05,200.5,0,No,No,No,20.0,200.0,0.0,Female,23,No,Yes,3,95005,Ben Lomond,6407,Stayed,No,,
